id,categoria,familia,especie,nombre_comun,genero,specific_epithet,tag,infraespecie,forma,scientific_name,author
26,EN PELIGRO (EN),MALVACEAE,Palaua camanensis Ferreyra & Chanco,NA,Palaua,camanensis,NA,NA,NA,Palaua camanensis,Ferreyra & Chanco
27,EN PELIGRO (EN),MALVACEAE,Sidasodes jamesonii (Baker f. ) Fryxell & Fuertes,NA,Sidasodes,jamesonii,NA,NA,NA,Sidasodes jamesonii,(Baker f. ) Fryxell & Fuertes
28,EN PELIGRO (EN),MALVACEAE,Tarasa machupicchensis Krapovickas,NA,Tarasa,machupicchensis,NA,NA,NA,Tarasa machupicchensis,Krapovickas
29,EN PELIGRO (EN),MALVACEAE,Tarasa rhombifolia Krapovickas,NA,Tarasa,rhombifolia,NA,NA,NA,Tarasa rhombifolia,Krapovickas
30,EN PELIGRO (EN),MELIACEAE,Cedrela lilloi C. DC.,"atoc cedro, cero, c. blanco, cedro de altura",Cedrela,lilloi,NA,NA,NA,Cedrela lilloi,C. DC.
31,EN PELIGRO (EN),MELIACEAE,Ruagea glabra Triana & Planch.,NA,Ruagea,glabra,NA,NA,NA,Ruagea glabra,Triana & Planch.
32,EN PELIGRO (EN),OLEACEAE,Chionanthus pubescens Kunth,NA,Chionanthus,pubescens,NA,NA,NA,Chionanthus pubescens,Kunth
33,EN PELIGRO (EN),POACEAE,Munroa decumbens Philippi,NA,Munroa,decumbens,NA,NA,NA,Munroa decumbens,Philippi
34,EN PELIGRO (EN),POACEAE,Trichoneura weberbaueri Pilg.,NA,Trichoneura,weberbaueri,NA,NA,NA,Trichoneura weberbaueri,Pilg.
35,EN PELIGRO (EN),ROSACEAE,Polylepis microphylla (Wedd.) Bitter,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,microphylla,NA,NA,NA,Polylepis microphylla,(Wedd.) Bitter
36,EN PELIGRO (EN),ROSACEAE,Polylepis multijuga Pilg.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,multijuga,NA,NA,NA,Polylepis multijuga,Pilg.
37,EN PELIGRO (EN),ROSACEAE,Polylepis subsericans J.F. Macbr.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,subsericans,NA,NA,NA,Polylepis subsericans,J.F. Macbr.
38,EN PELIGRO (EN),ROSACEAE,Polylepis tomentella Wedd.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,tomentella,NA,NA,NA,Polylepis tomentella,Wedd.
39,EN PELIGRO (EN),ROSACEAE,Prunus ruiziana Koehne,NA,Prunus,ruiziana,NA,NA,NA,Prunus ruiziana,Koehne
40,EN PELIGRO (EN),RUTACEAE,Zanthoxylum mantaro (J.F. Macbr.) J.F. Macbr.,NA,Zanthoxylum,mantaro,NA,NA,NA,Zanthoxylum mantaro,(J.F. Macbr.) J.F. Macbr.
41,EN PELIGRO (EN),SAPOTACEAE,Chrysophyllum contumacense Sagást. & M.O. Dillon,NA,Chrysophyllum,contumacense,NA,NA,NA,Chrysophyllum contumacense,Sagást. & M.O. Dillon
42,EN PELIGRO (EN),VERBENACEAE,Citharexylum quercifolium Hayek,NA,Citharexylum,quercifolium,NA,NA,NA,Citharexylum quercifolium,Hayek
1,VULNERABLE (Vu),AMARYLLIDACEAE,Hippeastrum cuzcoense (Vargas) Gereau & Brako,NA,Hippeastrum,cuzcoense,NA,NA,NA,Hippeastrum cuzcoense,(Vargas) Gereau & Brako
2,VULNERABLE (Vu),AMARYLLIDACEAE,Hippeastrum machupijchense (Vargas) D.R. Hunt,NA,Hippeastrum,machupijchense,NA,NA,NA,Hippeastrum machupijchense,(Vargas) D.R. Hunt
3,VULNERABLE (Vu),AMARYLLIDACEAE,Ismene amancaes (Ruiz Lopez & Pavon) Herbert,"amancaes, amancay",Ismene,amancaes,NA,NA,NA,Ismene amancaes,(Ruiz Lopez & Pavon) Herbert
4,VULNERABLE (Vu),AMARYLLIDACEAE,Leptochiton helianthus (Ravenna) Gereau & Meerow,NA,Leptochiton,helianthus,NA,NA,NA,Leptochiton helianthus,(Ravenna) Gereau & Meerow
5,VULNERABLE (Vu),AMARYLLIDACEAE,Stenomesson imasumacc Vargas,NA,Stenomesson,imasumacc,NA,NA,NA,Stenomesson imasumacc,Vargas
6,VULNERABLE (Vu),AMARYLLIDACEAE,Stenomesson miniatum (Herb.) Ravenna,"caruay piña, ului piña",Stenomesson,miniatum,NA,NA,NA,Stenomesson miniatum,(Herb.) Ravenna
7,VULNERABLE (Vu),ANACARDIACEAE,Mauria heterophylla H. B. & K.,"quimsa rapra, trinidad",Mauria,heterophylla,NA,NA,NA,Mauria heterophylla,H. B. & K.
8,VULNERABLE (Vu),ANACARDIACEAE,Mauria killipii F. Barkley,NA,Mauria,killipii,NA,NA,NA,Mauria killipii,F. Barkley
9,VULNERABLE (Vu),ANACARDIACEAE,Mauria simplicifolia H. B. & K.,NA,Mauria,simplicifolia,NA,NA,NA,Mauria simplicifolia,H. B. & K.
10,VULNERABLE (Vu),ANACARDIACEAE,Schinus pearcei Engl.,"atojlloque, molle, mulli, china molle, orcco mulli",Schinus,pearcei,NA,NA,NA,Schinus pearcei,Engl.
11,VULNERABLE (Vu),APIACEAE,Azorella compacta Phil.,"yareta,capo,waqay-yareta,orqo-yareta,puna-yareta,champayareta",Azorella,compacta,NA,NA,NA,Azorella compacta,Phil.
12,VULNERABLE (Vu),APIACEAE,Azorella diapensioides A. Gray,"yareta, yarita, rayita, kkota",Azorella,diapensioides,NA,NA,NA,Azorella diapensioides,A. Gray
13,VULNERABLE (Vu),APOCYNACEAE,Parahancornia peruviana Monachino,naranjo podrido,Parahancornia,peruviana,NA,NA,NA,Parahancornia peruviana,Monachino
14,VULNERABLE (Vu),ARECACEAE,Aiphanes spicata F. Borsch. & R. Bernal,shica-shica,Aiphanes,spicata,NA,NA,NA,Aiphanes spicata,F. Borsch. & R. Bernal
15,VULNERABLE (Vu),ARECACEAE,Ceroxylon crispum Burret,NA,Ceroxylon,crispum,NA,NA,NA,Ceroxylon crispum,Burret
16,VULNERABLE (Vu),ARECACEAE,Dictyocaryum ptariense (Steyerm.) H.E. Moore & Steyerm.,pona colorada,Dictyocaryum,ptariense,NA,NA,NA,Dictyocaryum ptariense,(Steyerm.) H.E. Moore & Steyerm.
17,VULNERABLE (Vu),ARECACEAE,Euterpe caatinga Wallace,NA,Euterpe,caatinga,NA,NA,NA,Euterpe caatinga,Wallace
18,VULNERABLE (Vu),ARECACEAE,"Euterpe luminosa A.J. Hend., G. Galeano & E. Meza","palma palanca, guayaquil",Euterpe,luminosa,NA,NA,NA,Euterpe luminosa,"A.J. Hend., G. Galeano & E. Meza"
19,VULNERABLE (Vu),ARECACEAE,Geonoma andicola Dammer ex Burret,Frutilla,Geonoma,andicola,NA,NA,NA,Geonoma andicola,Dammer ex Burret
20,VULNERABLE (Vu),ARECACEAE,Geonoma densa H.A.Wendland,NA,Geonoma,densa,NA,NA,NA,Geonoma densa,H.A.Wendland
21,VULNERABLE (Vu),ARECACEAE,Geonoma weberbaueri Dammer ex Burret,NA,Geonoma,weberbaueri,NA,NA,NA,Geonoma weberbaueri,Dammer ex Burret
22,VULNERABLE (Vu),ARECACEAE,Mauritia carana Wallace,aguaje del varillal,Mauritia,carana,NA,NA,NA,Mauritia carana,Wallace
23,VULNERABLE (Vu),ASTERACEAE,Aequatorium rimachianum (Cuatrec.) H. Rob. & Cuatrec.,NA,Aequatorium,rimachianum,NA,NA,NA,Aequatorium rimachianum,(Cuatrec.) H. Rob. & Cuatrec.
24,VULNERABLE (Vu),ASTERACEAE,Cronquistianthus celendinensis King & Robinson,NA,Cronquistianthus,celendinensis,NA,NA,NA,Cronquistianthus celendinensis,King & Robinson
25,VULNERABLE (Vu),ASTERACEAE,Gynoxys colanensis Dillon & Sagast.,NA,Gynoxys,colanensis,NA,NA,NA,Gynoxys colanensis,Dillon & Sagast.
26,VULNERABLE (Vu),ASTERACEAE,Gynoxys cuzcoensis Cuatrecasas,q´oto quiswar,Gynoxys,cuzcoensis,NA,NA,NA,Gynoxys cuzcoensis,Cuatrecasas
27,VULNERABLE (Vu),ASTERACEAE,Lepidophyllum quadrangulare (Jacq.) Benth. & Hook. F.,"pacha-taya, taya, tola, tuya",Lepidophyllum,quadrangulare,NA,NA,NA,Lepidophyllum quadrangulare,(Jacq.) Benth. & Hook. F.
28,VULNERABLE (Vu),ASTERACEAE,Mutisia wurdacki Cabrera,NA,Mutisia,wurdacki,NA,NA,NA,Mutisia wurdacki,Cabrera
29,VULNERABLE (Vu),ASTERACEAE,Pappobolus sanchezii Panero,NA,Pappobolus,sanchezii,NA,NA,NA,Pappobolus sanchezii,Panero
30,VULNERABLE (Vu),ASTERACEAE,Parastrephia lepidophylla (Weddell) Cabrera,"taya, tola",Parastrephia,lepidophylla,NA,NA,NA,Parastrephia lepidophylla,(Weddell) Cabrera
31,VULNERABLE (Vu),ASTERACEAE,Parastrephia phylicaeformis (Meyen) Cabrera,tola,Parastrephia,phylicaeformis,NA,NA,NA,Parastrephia phylicaeformis,(Meyen) Cabrera
32,VULNERABLE (Vu),ASTERACEAE,Perezia coerulescens Weddell,"Sutuma, china valeriana, valeriana",Perezia,coerulescens,NA,NA,NA,Perezia coerulescens,Weddell
33,VULNERABLE (Vu),ASTERACEAE,Perezia pinnatifida (Humb. & Bonpl.) Wedd.,contrayerba,Perezia,pinnatifida,NA,NA,NA,Perezia pinnatifida,(Humb. & Bonpl.) Wedd.
34,VULNERABLE (Vu),ASTERACEAE,Senecio casapaltensis Ball,NA,Senecio,casapaltensis,NA,NA,NA,Senecio casapaltensis,Ball
35,VULNERABLE (Vu),ASTERACEAE,Senecio pflanzii (Perkins) Cuatrec,NA,Senecio,pflanzii,NA,NA,NA,Senecio pflanzii,(Perkins) Cuatrec
36,VULNERABLE (Vu),ASTERACEAE,Senecio nivalis (H.B.K.) Cuatrec.,NA,Senecio,nivalis,NA,NA,NA,Senecio nivalis,(H.B.K.) Cuatrec.
37,VULNERABLE (Vu),ASTERACEAE,Senecio nutans Schultz - Bip,chachacuma,Senecio,nutans,NA,NA,NA,Senecio nutans,Schultz - Bip
38,VULNERABLE (Vu),ASTERACEAE,Senecio rhizomatus Rusby,"hancahuasa,lanca-huasha,llnca-huasca,ticlla-huasa,ticllaywarmi",Senecio,rhizomatus,NA,NA,NA,Senecio rhizomatus,Rusby
39,VULNERABLE (Vu),ASTERACEAE,Senecio torrehuasensis Cuatrec.,NA,Senecio,torrehuasensis,NA,NA,NA,Senecio torrehuasensis,Cuatrec.
40,VULNERABLE (Vu),ASTERACEAE,Senecio violaefolius Cabrera,huamanrripa,Senecio,violaefolius,NA,NA,NA,Senecio violaefolius,Cabrera
41,VULNERABLE (Vu),ASTERACEAE,Verbesina ancashensis Sagást. & Quipuscoa,NA,Verbesina,ancashensis,NA,NA,NA,Verbesina ancashensis,Sagást. & Quipuscoa
42,VULNERABLE (Vu),ASTERACEAE,Verbesina crassicephala Sagást. & Quipuscoa,pukanilla,Verbesina,crassicephala,NA,NA,NA,Verbesina crassicephala,Sagást. & Quipuscoa
43,VULNERABLE (Vu),ASTERACEAE,Verbesina leivae Sagást. & Quipuscoa,NA,Verbesina,leivae,NA,NA,NA,Verbesina leivae,Sagást. & Quipuscoa
44,VULNERABLE (Vu),ASTERACEAE,Verbesina lopez-mirandae Sagást.,quilmor,Verbesina,lopez-mirandae,NA,NA,NA,Verbesina lopez-mirandae,Sagást.
45,VULNERABLE (Vu),ASTERACEAE,Verbesina perlanata Sagást. & Quipuscoa,NA,Verbesina,perlanata,NA,NA,NA,Verbesina perlanata,Sagást. & Quipuscoa
46,VULNERABLE (Vu),BETULACEAE,Alnus acuminata Kunth,"aliso, huayau, lambrán, lamra, ramram, ramrash",Alnus,acuminata,NA,NA,NA,Alnus acuminata,Kunth
47,VULNERABLE (Vu),BIGNONIACEAE,Cybistax antisyphilitica (C.Martius) C. Martius ex A.DC.,"llangua, llangue, achichua-achihua",Cybistax,antisyphilitica,NA,NA,NA,Cybistax antisyphilitica,(C.Martius) C. Martius ex A.DC.
48,VULNERABLE (Vu),BIGNONIACEAE,Jacaranda acutifolia Humb. & Bonpl.,"yarabisca,yaravisco,arabisca,jacarandá,jarahuichca,paravisco",Jacaranda,acutifolia,NA,NA,NA,Jacaranda acutifolia,Humb. & Bonpl.
49,VULNERABLE (Vu),BIGNONIACEAE,Jacaranda mimosifolia D. Don,"jacarandá, yaravisco",Jacaranda,mimosifolia,NA,NA,NA,Jacaranda mimosifolia,D. Don
50,VULNERABLE (Vu),BIGNONIACEAE,Tabebuia incana A. Gentry,tahuarí,Tabebuia,incana,NA,NA,NA,Tabebuia incana,A. Gentry
51,VULNERABLE (Vu),BIGNONIACEAE,Tabebuia serratifolia (M.Vahl ) Nicholson,"tahuarí, asta de venado, chonta",Tabebuia,serratifolia,NA,NA,NA,Tabebuia serratifolia,(M.Vahl ) Nicholson
52,VULNERABLE (Vu),BIGNONIACEAE,Tecoma arequipensis (Sprague) Sandwith,"cahuato, pichus",Tecoma,arequipensis,NA,NA,NA,Tecoma arequipensis,(Sprague) Sandwith
53,VULNERABLE (Vu),BOMBACACEAE,Pachira brevipes (Robyns) Alverson,NA,Pachira,brevipes,NA,NA,NA,Pachira brevipes,(Robyns) Alverson
54,VULNERABLE (Vu),BROMELIACEAE,Greigia leymebambana H. Luther,NA,Greigia,leymebambana,NA,NA,NA,Greigia leymebambana,H. Luther
55,VULNERABLE (Vu),BROMELIACEAE,Puya herrerae Harms,ccjayara,Puya,herrerae,NA,NA,NA,Puya herrerae,Harms
56,VULNERABLE (Vu),BROMELIACEAE,Puya iltisiana L.B.Smith,NA,Puya,iltisiana,NA,NA,NA,Puya iltisiana,L.B.Smith
57,VULNERABLE (Vu),CLUSIACEAE,Caraipa utilis Vásquez,aceite caspi negro,Caraipa,utilis,NA,NA,NA,Caraipa utilis,Vásquez
58,VULNERABLE (Vu),CLUSIACEAE,Haploclathra cordata R. Vásquez,NA,Haploclathra,cordata,NA,NA,NA,Haploclathra cordata,R. Vásquez
59,VULNERABLE (Vu),CLUSIACEAE,Haploclathra paniculata (Mart.) Benth.,NA,Haploclathra,paniculata,NA,NA,NA,Haploclathra paniculata,(Mart.) Benth.
60,VULNERABLE (Vu),COLUMELLIACEAE,Columellia weberbaueri Schlechter,NA,Columellia,weberbaueri,NA,NA,NA,Columellia weberbaueri,Schlechter
61,VULNERABLE (Vu),CROMBRETACEAE,Laguncularia racemosa (L.) Gaertner f.,Mangle blanco,Laguncularia,racemosa,NA,NA,NA,Laguncularia racemosa,(L.) Gaertner f.
62,VULNERABLE (Vu),CYATHEACEAE,Cyathea caracasana (Klotzsch) Domin,Helecho arbóreo,Cyathea,caracasana,NA,NA,NA,Cyathea caracasana,(Klotzsch) Domin
63,VULNERABLE (Vu),CYATHEACEAE,Cyathea delgadii Sternb.,Helecho arbóreo,Cyathea,delgadii,NA,NA,NA,Cyathea delgadii,Sternb.
64,VULNERABLE (Vu),CYCADACEAE,Zamia poeppigiana Mart. & Eichler,NA,Zamia,poeppigiana,NA,NA,NA,Zamia poeppigiana,Mart. & Eichler
65,VULNERABLE (Vu),CYCADACEAE,Zamia ulei Dammer,NA,Zamia,ulei,NA,NA,NA,Zamia ulei,Dammer
66,VULNERABLE (Vu),EUPHORBIACEAE,Cnidoscolus basiacanthus (Pax & K. Hoffm.) J.F. Macbr.,huanarpo hembra,Cnidoscolus,basiacanthus,NA,NA,NA,Cnidoscolus basiacanthus,(Pax & K. Hoffm.) J.F. Macbr.
67,VULNERABLE (Vu),EUPHORBIACEAE,Jatropha humboldtiana McVaugh,NA,Jatropha,humboldtiana,NA,NA,NA,Jatropha humboldtiana,McVaugh
68,VULNERABLE (Vu),EUPHORBIACEAE,Jatropha macrantha Müll. Arg.,"barbasco, huanarpo de Canta, huanarpo macho",Jatropha,macrantha,NA,NA,NA,Jatropha macrantha,Müll. Arg.
69,VULNERABLE (Vu),FABACEAE,Amburana acreana (Ducke) A.C. Sm.,NA,Amburana,acreana,NA,NA,NA,Amburana acreana,(Ducke) A.C. Sm.
70,VULNERABLE (Vu),FABACEAE,Amburana cearensis (Allemão) A.C. Sm.,"ishpingo, cumaro de cheiro",Amburana,cearensis,NA,NA,NA,Amburana cearensis,(Allemão) A.C. Sm.
71,VULNERABLE (Vu),FABACEAE,Caesalpinia spinosa (Molina) Kuntze,"tara, taya",Caesalpinia,spinosa,NA,NA,NA,Caesalpinia spinosa,(Molina) Kuntze
72,VULNERABLE (Vu),FABACEAE,Clitoria woytkowskii Fantz,NA,Clitoria,woytkowskii,NA,NA,NA,Clitoria woytkowskii,Fantz
73,VULNERABLE (Vu),FABACEAE,Copaifera paupera (Herzog) Dwyer,copaiba,Copaifera,paupera,NA,NA,NA,Copaifera paupera,(Herzog) Dwyer
74,VULNERABLE (Vu),FABACEAE,Cyathostegia mathewsii (Bentham) Schery,NA,Cyathostegia,mathewsii,NA,NA,NA,Cyathostegia mathewsii,(Bentham) Schery
75,VULNERABLE (Vu),FABACEAE,Geoffroea decorticans (Gilles ex Hooker & Arnott) Burkart,NA,Geoffroea,decorticans,NA,NA,NA,Geoffroea decorticans,(Gilles ex Hooker & Arnott) Burkart
76,VULNERABLE (Vu),FABACEAE,Pachyrrhizus tuberosus (Lammarck) Sprengel,"achipa, ajipa, jíquima",Pachyrrhizus,tuberosus,NA,NA,NA,Pachyrrhizus tuberosus,(Lammarck) Sprengel
77,VULNERABLE (Vu),FABACEAE,Peltogyne altisima Ducke,NA,Peltogyne,altisima,NA,NA,NA,Peltogyne altisima,Ducke
78,VULNERABLE (Vu),FABACEAE,Prosopis pallida (Humboldt & Bonpland ex Willdenow) Kunth,"algarrobo, huarango",Prosopis,pallida,NA,NA,NA,Prosopis pallida,(Humboldt & Bonpland ex Willdenow) Kunth
79,VULNERABLE (Vu),GENTIANACEAE,Gentianella thyrsoidea (Hook.) Fabris,japan shacoc,Gentianella,thyrsoidea,NA,NA,NA,Gentianella thyrsoidea,(Hook.) Fabris
80,VULNERABLE (Vu),GROSSULARIACEAE,Escallonia micrantha Mattf.,chachacoma(o),Escallonia,micrantha,NA,NA,NA,Escallonia micrantha,Mattf.
81,VULNERABLE (Vu),GROSSULARIACEAE,Escallonia myrtilloides L. f. var. myrtilloides,"chachacoma(o), fassta tassta, tosta",Escallonia,myrtilloides,var.,myrtilloides,NA,Escallonia myrtilloides var. myrtilloides,L. f.
82,VULNERABLE (Vu),GROSSULARIACEAE,Escallonia pendula (Ruiz & Pav.) Pers.,"chachacuma, pauca, pumachilca",Escallonia,pendula,NA,NA,NA,Escallonia pendula,(Ruiz & Pav.) Pers.
83,VULNERABLE (Vu),GROSSULARIACEAE,Escallonia resinosa (R. & P. ) Persoon,"chachas, chachacoma, china ckenhua, tatás",Escallonia,resinosa,NA,NA,NA,Escallonia resinosa,(R. & P. ) Persoon
84,VULNERABLE (Vu),GROSSULARIACEAE,Escallonia salicifolia Mattf.,NA,Escallonia,salicifolia,NA,NA,NA,Escallonia salicifolia,Mattf.
85,VULNERABLE (Vu),LAURACEAE,Aniba rosaeodora Ducke,palo rosa,Aniba,rosaeodora,NA,NA,NA,Aniba rosaeodora,Ducke
86,VULNERABLE (Vu),LAURACEAE,Mezilaurus ita-uba (Meissner) Taubert ex Mez,"itahuba, itauba, ita-uba",Mezilaurus,ita-uba,NA,NA,NA,Mezilaurus ita-uba,(Meissner) Taubert ex Mez
87,VULNERABLE (Vu),MALESHERBIACEAE,Malesherbia scarlatiflora Gilg,NA,Malesherbia,scarlatiflora,NA,NA,NA,Malesherbia scarlatiflora,Gilg
88,VULNERABLE (Vu),MALESHERBIACEAE,Malesherbia weberbaueri Gilg,NA,Malesherbia,weberbaueri,NA,NA,NA,Malesherbia weberbaueri,Gilg
89,VULNERABLE (Vu),MALVACEAE,Acaulimalva parnassiaefolia (Hooker) Krapov.,NA,Acaulimalva,parnassiaefolia,NA,NA,NA,Acaulimalva parnassiaefolia,(Hooker) Krapov.
90,VULNERABLE (Vu),MALVACEAE,Acaulimalva weberbaueri (Ulbrich) Krapovickas,NA,Acaulimalva,weberbaueri,NA,NA,NA,Acaulimalva weberbaueri,(Ulbrich) Krapovickas
91,VULNERABLE (Vu),MALVACEAE,"Kosteletzkya depressa (L.) O.J. Blanch., Fryxell & D.M. Bates",NA,Kosteletzkya,depressa,NA,NA,NA,Kosteletzkya depressa,"(L.) O.J. Blanch., Fryxell & D.M. Bates"
92,VULNERABLE (Vu),MALVACEAE,Peltaea riedelii (Gürke) Standl.,NA,Peltaea,riedelii,NA,NA,NA,Peltaea riedelii,(Gürke) Standl.
93,VULNERABLE (Vu),MELIACEAE,Cedrela fissilis Vell.,"cedro, c. blanco, c. de altura",Cedrela,fissilis,NA,NA,NA,Cedrela fissilis,Vell.
94,VULNERABLE (Vu),MELIACEAE,Cedrela montana Moritz ex Turcz.,cedro de monte,Cedrela,montana,NA,NA,NA,Cedrela montana,Moritz ex Turcz.
95,VULNERABLE (Vu),MELIACEAE,Cedrela odorata L.,"cedro colorado, c. de altura, c. del bajo",Cedrela,odorata,NA,NA,NA,Cedrela odorata,L.
96,VULNERABLE (Vu),MELIACEAE,Swietenia macrophylla King,caoba,Swietenia,macrophylla,NA,NA,NA,Swietenia macrophylla,King
97,VULNERABLE (Vu),MYRTACEAE,Myrcianthes quinqueloba (McVaugh) McVaugh,guayabillo,Myrcianthes,quinqueloba,NA,NA,NA,Myrcianthes quinqueloba,(McVaugh) McVaugh
98,VULNERABLE (Vu),MYRTACEAE,Psidium rutidocarpum R.&P.,"guayabo del monte, monte sahuinto",Psidium,rutidocarpum,NA,NA,NA,Psidium rutidocarpum,R.&P.
99,VULNERABLE (Vu),PASSIFLORACEAE,Passiflora gracilens (A. Gray) Harms,"atoc tumbo, jukuchajamppajhuai, pichincho-jamppajhuai",Passiflora,gracilens,NA,NA,NA,Passiflora gracilens,(A. Gray) Harms
100,VULNERABLE (Vu),PIPERACEAE,Piper ollantaitambanum Trel.,NA,Piper,ollantaitambanum,NA,NA,NA,Piper ollantaitambanum,Trel.
101,VULNERABLE (Vu),POACEAE,Aulonemia queko Goudot,NA,Aulonemia,queko,NA,NA,NA,Aulonemia queko,Goudot
102,VULNERABLE (Vu),POACEAE,Rhipidocladum harmonicum (Parodi) McClure,"mamac, mamaje",Rhipidocladum,harmonicum,NA,NA,NA,Rhipidocladum harmonicum,(Parodi) McClure
103,VULNERABLE (Vu),POACEAE,Tovarochloa peruviana T.D. Macfarl. & But,NA,Tovarochloa,peruviana,NA,NA,NA,Tovarochloa peruviana,T.D. Macfarl. & But
104,VULNERABLE (Vu),POACEAE,Tripsacum australe H.C. Cutler & E.S. Anderson var. australe,NA,Tripsacum,australe,var.,australe,NA,Tripsacum australe var. australe,H.C. Cutler & E.S. Anderson
105,VULNERABLE (Vu),POACEAE,Tripsacum peruvianum de Wet & Timothy,NA,Tripsacum,peruvianum,NA,NA,NA,Tripsacum peruvianum,de Wet & Timothy
106,VULNERABLE (Vu),POACEAE,Uniola peruviana Laegaard & Sánchez Vega,NA,Uniola,peruviana,NA,NA,NA,Uniola peruviana,Laegaard & Sánchez Vega
107,VULNERABLE (Vu),PROTEACEAE,Lomatia hirsuta (Lam.) Diels,"andaga garo, garo, raral, shiapash, pal pal negro",Lomatia,hirsuta,NA,NA,NA,Lomatia hirsuta,(Lam.) Diels
108,VULNERABLE (Vu),PTERIDACEAE,Argyrochosma nivea (Poir.) Windham,"cuti cuti, raqui raqui, doradilla",Argyrochosma,nivea,NA,NA,NA,Argyrochosma nivea,(Poir.) Windham
109,VULNERABLE (Vu),RHIZOPHORACEAE,Rhizophora mangle L.,"mangle, mangle dulce",Rhizophora,mangle,NA,NA,NA,Rhizophora mangle,L.
110,VULNERABLE (Vu),ROSACEAE,Polylepis besseri Hieron.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,besseri,NA,NA,NA,Polylepis besseri,Hieron.
111,VULNERABLE (Vu),ROSACEAE,Polylepis pepei B.B. Simpson,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,pepei,NA,NA,NA,Polylepis pepei,B.B. Simpson
112,VULNERABLE (Vu),ROSACEAE,Polylepis rugulosa Bitter,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,rugulosa,NA,NA,NA,Polylepis rugulosa,Bitter
113,VULNERABLE (Vu),ROSACEAE,Polylepis sericea Wedd.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,sericea,NA,NA,NA,Polylepis sericea,Wedd.
114,VULNERABLE (Vu),ROSACEAE,Polylepis tarapacana Phil.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,tarapacana,NA,NA,NA,Polylepis tarapacana,Phil.
115,VULNERABLE (Vu),ROSACEAE,Polylepis weberbaueri Pilg.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,weberbaueri,NA,NA,NA,Polylepis weberbaueri,Pilg.
116,VULNERABLE (Vu),RUBIACEAE,Cinchona calisaya Wedd.,cascarilla,Cinchona,calisaya,NA,NA,NA,Cinchona calisaya,Wedd.
117,VULNERABLE (Vu),SAPOTACEAE,Manilkara bidentata (A.DC.) Chevalier subsp. bidentata,"árbol de la bola, quinilla roja, balata",Manilkara,bidentata,subsp.,bidentata,NA,Manilkara bidentata subsp. bidentata,(A.DC.) Chevalier
118,VULNERABLE (Vu),SOLANACEAE,"Capsicum tovarii Eshbaugh, P.G.Sm. & Nickrent",mucuru-uchu,Capsicum,tovarii,NA,NA,NA,Capsicum tovarii,"Eshbaugh, P.G.Sm. & Nickrent"
119,VULNERABLE (Vu),SOLANACEAE,Jaltomata biflora (Ruiz & Pav.) Benítez,NA,Jaltomata,biflora,NA,NA,NA,Jaltomata biflora,(Ruiz & Pav.) Benítez
120,VULNERABLE (Vu),SOLANACEAE,Jaltomata cajamarca Mione,songorome,Jaltomata,cajamarca,NA,NA,NA,Jaltomata cajamarca,Mione
121,VULNERABLE (Vu),SOLANACEAE,Jaltomata sagastegui Mione,songorome,Jaltomata,sagastegui,NA,NA,NA,Jaltomata sagastegui,Mione
122,VULNERABLE (Vu),SOLANACEAE,Jaltomata ventricosa (Baker) Mione,songorome,Jaltomata,ventricosa,NA,NA,NA,Jaltomata ventricosa,(Baker) Mione
123,VULNERABLE (Vu),SOLANACEAE,Jaltomata weberbaueri (Dammer)T. Mione & F.G. Coe,cunqui,Jaltomata,weberbaueri,NA,NA,NA,Jaltomata weberbaueri,(Dammer)T. Mione & F.G. Coe
124,VULNERABLE (Vu),SOLANACEAE,"Lycopersicon chmielewskii C.M. Rick, E. Kesicki, J. F.Forbes, & M. Holle",NA,Lycopersicon,chmielewskii,NA,NA,NA,Lycopersicon chmielewskii,"C.M. Rick, E. Kesicki, J. F.Forbes, & M. Holle"
125,VULNERABLE (Vu),SOLANACEAE,"Lycopersicon parviflorum C.M. Rick, E. Kesicki, J. F. Forbes, & M. Holle",NA,Lycopersicon,parviflorum,NA,NA,NA,Lycopersicon parviflorum,"C.M. Rick, E. Kesicki, J. F. Forbes, & M. Holle"
126,VULNERABLE (Vu),SOLANACEAE,Physalis quillabambensis D. Medina,NA,Physalis,quillabambensis,NA,NA,NA,Physalis quillabambensis,D. Medina
127,VULNERABLE (Vu),SOLANACEAE,Solanum buesii Vargas,NA,Solanum,buesii,NA,NA,NA,Solanum buesii,Vargas
